idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
1,12,0.3558156056039123,True,5,5,5,5,1.0,True,
4,0,0.3624420531747417,False,,,,,,False,empty_cot
4,2,0.3624420531747417,False,,,,,,False,empty_cot
4,5,0.3624420531747417,False,,,,,,False,empty_cot
4,6,0.3624420531747417,False,,,,,,False,empty_cot
4,7,0.3624420531747417,False,,,,,,False,empty_cot
4,8,0.3624420531747417,False,,,,,,False,empty_cot
4,13,0.3624420531747417,False,,,,,,False,empty_cot
6,0,0.36884366657006273,True,5,5,5,5,1.0,True,
10,6,0.3717348735786875,False,5,5,5,5,1.0,True,
10,12,0.4525686822348494,False,5,5,5,5,1.0,True,
11,0,0.3715105824853394,False,,,,,,False,empty_cot
11,1,0.3715105824853394,False,,,,,,False,empty_cot
11,2,0.3715105824853394,False,,,,,,False,empty_cot
11,3,0.3715105824853394,False,,,,,,False,empty_cot
11,4,0.3715105824853394,False,,,,,,False,empty_cot
11,8,0.3715105824853394,False,,,,,,False,empty_cot
11,12,0.3715105824853394,False,,,,,,False,empty_cot
11,14,0.3715105824853394,False,,,,,,False,empty_cot
14,11,0.38291727754609206,True,5,5,5,5,1.0,True,
19,12,0.36060626090462483,False,1,1,1,1,0.0,True,
20,1,0.40072496054389134,False,,,,,,False,empty_cot
20,2,0.40072496054389134,False,,,,,,False,empty_cot
20,3,0.40072496054389134,False,,,,,,False,empty_cot
20,4,0.40072496054389134,False,,,,,,False,empty_cot
20,5,0.40072496054389134,False,,,,,,False,empty_cot
20,6,0.40072496054389134,False,,,,,,False,empty_cot
20,8,0.40072496054389134,False,,,,,,False,empty_cot
20,9,0.40072496054389134,False,,,,,,False,empty_cot
20,11,0.40072496054389134,False,,,,,,False,empty_cot
20,12,0.40072496054389134,False,,,,,,False,empty_cot
20,14,0.40072496054389134,False,,,,,,False,empty_cot
20,15,0.40072496054389134,False,,,,,,False,empty_cot
21,0,0.44683557985002714,False,,,,,,False,empty_cot
21,1,0.44683557985002714,False,,,,,,False,empty_cot
21,2,0.44683557985002714,False,,,,,,False,empty_cot
21,3,0.44683557985002714,False,,,,,,False,empty_cot
21,4,0.44683557985002714,False,,,,,,False,empty_cot
21,5,0.44683557985002714,False,,,,,,False,empty_cot
21,6,0.44683557985002714,False,,,,,,False,empty_cot
21,9,0.44683557985002714,False,,,,,,False,empty_cot
21,10,0.44683557985002714,False,,,,,,False,empty_cot
21,11,0.44683557985002714,False,,,,,,False,empty_cot
21,12,0.44683557985002714,False,,,,,,False,empty_cot
